Data,Time,Value
Distance,40.67,1215.1
Distance,40.78,76.27
Distance,40.89,81.91
Distance,41.0,89.85
Distance,41.1,88.31
Distance,41.21,92.01
Distance,41.32,96.19
Distance,41.43,104.33
Distance,41.54,107.4
Distance,41.65,108.45
Distance,41.76,110.19
Distance,41.87,126.85
Distance,41.98,110.81
Distance,42.09,109.1
Distance,42.2,113.02
Distance,42.32,358.66
Distance,42.44,188.44
Distance,42.61,1214.89
Distance,42.72,108.3
Distance,42.83,110.02
Distance,42.94,106.4
Distance,43.05,107.48
Distance,43.16,99.51
Distance,43.27,94.2
Percentage,43.33,0.0
Percentage,43.83,0.0
Percentage,44.33,0.0
Percentage,44.83,0.0
Percentage,45.34,0.0
Percentage,45.84,0.0
Percentage,46.34,0.0
Percentage,46.84,0.0
Percentage,47.34,13.02
Percentage,47.85,216.77
Percentage,48.35,219.24
Distance,43.37,88.46
Distance,43.48,88.21
Distance,43.59,72.4
Distance,43.7,65.56
Distance,43.81,55.88
Distance,43.91,47.99
Distance,44.02,40.78
Distance,44.13,35.0
Distance,44.23,28.41
Distance,44.34,24.06
Distance,44.44,22.3
Distance,44.55,22.06
Distance,44.65,21.47
Distance,44.76,24.64
Distance,44.87,27.29
Distance,44.97,28.93
Distance,45.08,28.42
Distance,45.18,27.83
Distance,45.29,27.59
Distance,45.4,29.21
Distance,45.5,27.87
Distance,45.61,31.85
Distance,45.71,35.44
Distance,45.82,34.75
Distance,45.93,32.1
Distance,46.03,28.16
Distance,46.14,21.12
Distance,46.24,76.29
Distance,46.35,37.05
Distance,46.46,36.16
Distance,46.56,39.14
Distance,46.67,38.93
Distance,46.78,35.42
Distance,46.88,33.67
Distance,46.99,31.85
Distance,47.09,32.84
Distance,47.2,35.23
Distance,47.31,36.36
Distance,47.41,35.0
Distance,47.52,34.97
Distance,47.62,31.28
Distance,47.73,28.21
Distance,47.85,367.41
Distance,48.03,1214.93
Distance,48.14,36.38
Distance,48.24,40.78
Distance,48.35,40.56
